cell_line,filter_type,best_iou,mean_iou,best_config,best_improvement,mean_improvement,raw_iou,net_improvement
BT474,elliptic,0.49934955564380296,0.3130341102626242,ellip_0.02_0.30,0.09859846411848107,-0.0010579801434011907,0.31409209040602537,0.18525746523777759
BT474,gaussian,0.5039791359042706,0.31611930271587657,gauss_0.05_0.40,0.18401310431623208,0.0020272123098512354,0.31409209040602537,0.1898870454982452
BT474,homomorphic,0.5063020376862402,0.32223158600412466,homo_0.5_2.0,0.1786012779197722,0.008139495598099296,0.31409209040602537,0.1922099472802148
BT474,ideal,0.4883328169852032,0.30618996564535034,ideal_0.02_0.30,8.013353647068344e-05,-0.007902124760675026,0.31409209040602537,0.17424072657917783
BT474,laplacian,0.303992451247641,0.1828502712404505,lap_0.02_0.30,0.15039063368001093,-0.13124181916557487,0.31409209040602537,-0.010099639158384355
BT474,parametric,0.5002808242259525,0.32262736808923426,param_b1_s020,0.19777129609254684,0.008535277683208888,0.31409209040602537,0.18618873381992718
BT474,trapezoidal,0.49138821955585527,0.30952113483107446,trap_0.01_03_25_35,0.0006943085321252374,-0.004570955574950907,0.31409209040602537,0.1772961291498299
BV2,butterworth,0.5179753943148608,0.21549844535867932,bw2_0.05_0.40,0.22609168769938234,0.024694683097684408,0.1908037622609949,0.3271716320538659
BV2,chebyshev1,0.5157808058784425,0.21171904529034413,cheb1_0.02_0.30,0.1714419009291957,0.02091528302934922,0.1908037622609949,0.3249770436174476
BV2,chebyshev2,0.49368846049502896,0.2719764355197438,cheb2_0.02_0.30,0.19630886292249927,0.08117267325874893,0.1908037622609949,0.3028846982340341
BV2,cosine,0.514039149421756,0.19957509030946888,cos_0.02_0.30,0.15711628401535854,0.008771328048473989,0.1908037622609949,0.32323538716076106
BV2,dog,0.5267078031092955,0.2528910647249794,dog_010_030,0.2630983599309572,0.062087302463984514,0.1908037622609949,0.3359040408483006
BV2,elliptic,0.3868689477895453,0.1945744618401599,ellip_0.02_0.30,0.1550590852989338,0.0037706995791649696,0.1908037622609949,0.19606518552855037
BV2,gaussian,0.5201619743358231,0.2165848192449419,gauss_0.05_0.40,0.22181292618760826,0.025781056983946997,0.1908037622609949,0.3293582120748282
BV2,homomorphic,0.388984355599702,0.24540689522822484,homo_0.7_3.0,0.2219748716586,0.054603132967229955,0.1908037622609949,0.1981805933387071
BV2,ideal,0.5145714943941023,0.21116849551232167,ideal_0.02_0.30,0.16903895278625186,0.020364733251326775,0.1908037622609949,0.3237677321331074
BV2,laplacian,0.48769425278232914,0.20171744190011207,lap_0.01_0.40,0.15524142159045362,0.010913679639117132,0.1908037622609949,0.2968904905213342
BV2,parametric,0.41010215485353607,0.2712464911353772,param_b2_s015,0.265066674756791,0.08044272887438227,0.1908037622609949,0.21929839259254116
BV2,trapezoidal,0.516710772147252,0.21081816528447628,trap_0.01_03_25_35,0.17098948630168015,0.020014403023481363,0.1908037622609949,0.3259070098862571
Huh7,butterworth,0.6085922117698535,0.284748190456348,bw2_0.02_0.30,0.004539000324982334,-0.00038935595315146956,0.2851375464094995,0.32345466536035394
Huh7,chebyshev1,0.6074990224254241,0.28442254246910625,cheb1_0.02_0.30,0.0023103285775127325,-0.0007150039403932022,0.2851375464094995,0.3223614760159246
Huh7,chebyshev2,0.5909585669355941,0.2705089092957276,cheb2_0.02_0.30,0.0004147357624691983,-0.014628637113771912,0.2851375464094995,0.3058210205260946
Huh7,cosine,0.5969866474197041,0.2818471854941835,cos_0.02_0.30,0.0002785290786160022,-0.00329036091531592,0.2851375464094995,0.3118491010102046
Huh7,dog,0.10411473067981289,0.06951778688877394,dog_003_010,-0.03840315631726605,-0.2156197595207255,0.2851375464094995,-0.18102281572968662
Huh7,elliptic,0.6055597788339012,0.2843782784503585,ellip_0.02_0.30,0.004488622848647594,-0.000759267959140965,0.2851375464094995,0.3204222324244017
Huh7,gaussian,0.6085469197345358,0.2847916702955252,gauss_0.05_0.40,0.004676048668979915,-0.00034587611397425734,0.2851375464094995,0.3234093733250363
Huh7,homomorphic,0.6093673523516817,0.285143463098357,homo_0.3_1.5,0.004227437057988448,5.916688857489613e-06,0.2851375464094995,0.3242298059421822
Huh7,ideal,0.5984923289851941,0.28193440720699675,ideal_0.02_0.30,0.0005827474079551365,-0.0032031392025027514,0.2851375464094995,0.3133547825756946
Huh7,laplacian,0.16419936607779062,0.10991136669165191,lap_0.02_0.30,-0.006328549049198995,-0.1752261797178476,0.2851375464094995,-0.12093818033170889
Huh7,parametric,0.6061162932517317,0.28424390049126114,param_b1_s020,0.002157966771387021,-0.0008936459182383445,0.2851375464094995,0.32097874684223215
