filename,cell_line,degradation,method,iou,improvement
MCF7_Phase_E4_1_01d08h00m_4,MCF7,HQ_reference,raw_HQ,0.2230480833342442,0.01474479838060147
MCF7_Phase_E4_1_01d08h00m_4,MCF7,combined_mild,raw,0.1956521739130435,0.0
MCF7_Phase_E4_1_01d08h00m_4,MCF7,combined_mild,DeBCR,0.18011756458950898,-0.01553460932353451
MCF7_Phase_E4_1_01d08h00m_4,MCF7,combined_mild,PI-DDPM,0.1887542413960252,-0.006897932517018285
MCF7_Phase_E4_1_01d08h00m_4,MCF7,combined_mild,PSF-Learning,0.1584443856088018,-0.03720778830424168
MCF7_Phase_E4_1_01d08h00m_4,MCF7,combined_mild,DoG_filter,0.20760414049137937,0.011951966578335887
MCF7_Phase_E4_1_01d08h00m_4,MCF7,combined_mild,DeBCR+DoG,0.2048219733107193,0.009169799397675815
MCF7_Phase_E4_1_01d08h00m_4,MCF7,HQ_reference,raw_HQ,0.2230480833342442,0.02739590942120071
MCF7_Phase_E4_1_01d12h00m_4,MCF7,noise_50,raw,0.22875237438854243,0.0
MCF7_Phase_E4_1_01d12h00m_4,MCF7,noise_50,DeBCR,0.224650744529492,-0.004101629859050437
MCF7_Phase_E4_1_01d12h00m_4,MCF7,noise_50,PI-DDPM,0.22515316685680484,-0.0035992075317375916
MCF7_Phase_E4_1_01d12h00m_4,MCF7,noise_50,PSF-Learning,0.1888955053720754,-0.03985686901646704
MCF7_Phase_E4_1_01d12h00m_4,MCF7,noise_50,DoG_filter,0.230452726103818,0.0017003517152755776
MCF7_Phase_E4_1_01d12h00m_4,MCF7,noise_50,DeBCR+DoG,0.23037496628001078,0.0016225918914683501
MCF7_Phase_E4_1_01d12h00m_4,MCF7,HQ_reference,raw_HQ,0.2497937057013733,0.02104133131283087
MCF7_Phase_E4_1_01d12h00m_4,MCF7,combined_mild,raw,0.21336927366181738,0.0
MCF7_Phase_E4_1_01d12h00m_4,MCF7,combined_mild,DeBCR,0.1983641350341839,-0.015005138627633474
MCF7_Phase_E4_1_01d12h00m_4,MCF7,combined_mild,PI-DDPM,0.2055094009619589,-0.007859872699858467
MCF7_Phase_E4_1_01d12h00m_4,MCF7,combined_mild,PSF-Learning,0.17868491347115495,-0.03468436019066243
MCF7_Phase_E4_1_01d12h00m_4,MCF7,combined_mild,DoG_filter,0.22933158668799075,0.015962313026173375
MCF7_Phase_E4_1_01d12h00m_4,MCF7,combined_mild,DeBCR+DoG,0.22629777951038185,0.012928505848564475
MCF7_Phase_E4_1_01d12h00m_4,MCF7,HQ_reference,raw_HQ,0.2497937057013733,0.03642443203955592
MCF7_Phase_E4_1_01d20h00m_1,MCF7,noise_50,raw,0.2877262093368159,0.0
MCF7_Phase_E4_1_01d20h00m_1,MCF7,noise_50,DeBCR,0.28526469068533045,-0.0024615186514854726
MCF7_Phase_E4_1_01d20h00m_1,MCF7,noise_50,PI-DDPM,0.28618840749872804,-0.0015378018380878822
MCF7_Phase_E4_1_01d20h00m_1,MCF7,noise_50,PSF-Learning,0.23098878970126846,-0.05673741963554746
MCF7_Phase_E4_1_01d20h00m_1,MCF7,noise_50,DoG_filter,0.28788595627186214,0.00015974693504622328
MCF7_Phase_E4_1_01d20h00m_1,MCF7,noise_50,DeBCR+DoG,0.28780204235859475,7.583302177882612e-05
